Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:47:39        all      0,13      0,00      0,33      0,03      0,00     99,52
09:47:49        all      0,13      0,00      0,38      0,03      0,00     99,47
09:47:59        all      0,08      0,00      0,28      0,03      0,00     99,62
09:48:09        all      0,13      0,00      0,23      0,03      0,00     99,62
09:48:19        all      0,15      0,00      0,36      0,03      0,00     99,47
09:48:29        all      0,15      0,00      0,28      0,03      0,00     99,54
09:48:39        all      0,20      0,00      0,38      0,03      0,00     99,39
09:48:49        all      0,13      0,00      0,48      0,03      0,00     99,36
09:48:59        all      0,15      0,00      0,43      0,05      0,00     99,36
09:49:09        all      0,15      0,00      0,31      0,03      0,00     99,52
09:49:19        all      0,23      0,00      0,36      0,00      0,00     99,41
09:49:29        all      0,15      0,00      0,36      0,03      0,00     99,47
09:49:39        all      0,18      0,00      0,33      0,05      0,00     99,44
09:49:49        all      0,18      0,00      0,38      0,08      0,00     99,36
Average:        all      0,12      0,00      0,38      0,04      0,00     99,45
