Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:17:19        all      0,05      0,00      0,36      0,00      0,00     99,59
09:17:19          0      0,00      0,00      0,10      0,00      0,00     99,90
09:17:19          1      0,21      0,00      1,28      0,00      0,00     98,50
09:17:19          2      0,00      0,00      0,10      0,00      0,00     99,90
09:17:19          3      0,00      0,00      0,00      0,00      0,00    100,00
09:17:29        all      0,10      0,00      0,31      0,03      0,00     99,57
09:17:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:17:29          1      0,43      0,00      1,28      0,00      0,00     98,29
09:17:29          2      0,00      0,00      0,00      0,00      0,00    100,00
09:17:29          3      0,00      0,00      0,00      0,10      0,00     99,90
09:17:39        all      0,08      0,00      0,28      0,05      0,00     99,59
09:17:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:17:39          1      0,32      0,00      1,18      0,00      0,00     98,50
09:17:39          2      0,00      0,00      0,00      0,20      0,00     99,80
09:17:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:17:49        all      0,13      0,00      0,48      0,03      0,00     99,36
09:17:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:17:49          1      0,53      0,00      1,82      0,00      0,00     97,65
09:17:49          2      0,00      0,00      0,20      0,10      0,00     99,70
09:17:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:17:59        all      0,10      0,00      0,41      0,05      0,00     99,44
09:17:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:17:59          1      0,32      0,00      1,61      0,00      0,00     98,07
09:17:59          2      0,10      0,00      0,00      0,10      0,00     99,80
09:17:59          3      0,00      0,00      0,10      0,10      0,00     99,80
09:18:09        all      0,10      0,00      0,48      0,05      0,00     99,36
09:18:09          0      0,00      0,00      0,10      0,00      0,00     99,90
09:18:09          1      0,43      0,00      1,81      0,11      0,00     97,65
09:18:09          2      0,00      0,00      0,10      0,10      0,00     99,80
09:18:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:18:19        all      0,10      0,00      0,33      0,03      0,00     99,54
09:18:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:18:19          1      0,43      0,00      1,28      0,00      0,00     98,30
09:18:19          2      0,00      0,00      0,10      0,10      0,00     99,80
09:18:19          3      0,00      0,00      0,00      0,00      0,00    100,00
09:18:29        all      0,10      0,00      0,41      0,00      0,00     99,49
09:18:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:18:29          1      0,32      0,00      1,50      0,00      0,00     98,18
09:18:29          2      0,00      0,00      0,10      0,00      0,00     99,90
09:18:29          3      0,10      0,00      0,10      0,00      0,00     99,80
09:18:39        all      0,08      0,00      0,33      0,03      0,00     99,57
09:18:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:18:39          1      0,32      0,00      1,38      0,00      0,00     98,30
09:18:39          2      0,00      0,00      0,00      0,10      0,00     99,90
09:18:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:18:49        all      0,08      0,00      0,38      0,05      0,00     99,49
09:18:49          0      0,00      0,00      0,10      0,00      0,00     99,90
09:18:49          1      0,32      0,00      1,50      0,11      0,00     98,08
09:18:49          2      0,00      0,00      0,00      0,10      0,00     99,90
09:18:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:18:59        all      0,10      0,00      0,31      0,05      0,00     99,54
09:18:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:18:59          1      0,32      0,00      1,28      0,00      0,00     98,40
09:18:59          2      0,00      0,00      0,00      0,20      0,00     99,80
09:18:59          3      0,10      0,00      0,00      0,00      0,00     99,90

09:18:59        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:19:09        all      0,13      0,00      0,43      0,03      0,00     99,42
09:19:09          0      0,10      0,00      0,10      0,00      0,00     99,80
09:19:09          1      0,32      0,00      1,49      0,00      0,00     98,19
09:19:09          2      0,10      0,00      0,20      0,10      0,00     99,60
09:19:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:19:19        all      0,10      0,00      0,43      0,03      0,00     99,44
09:19:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:19:19          1      0,43      0,00      1,71      0,00      0,00     97,87
09:19:19          2      0,00      0,00      0,00      0,10      0,00     99,90
09:19:19          3      0,00      0,00      0,10      0,00      0,00     99,90
09:19:29        all      0,08      0,00      0,33      0,03      0,00     99,57
09:19:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:19:29          1      0,32      0,00      1,28      0,00      0,00     98,41
09:19:29          2      0,00      0,00      0,00      0,10      0,00     99,90
09:19:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:19:39        all      0,08      0,00      0,41      0,05      0,00     99,47
09:19:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:19:39          1      0,32      0,00      1,60      0,11      0,00     97,98
09:19:39          2      0,00      0,00      0,10      0,10      0,00     99,80
09:19:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:19:49        all      0,08      0,00      0,25      0,03      0,00     99,64
09:19:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:19:49          1      0,32      0,00      1,07      0,00      0,00     98,61
09:19:49          2      0,00      0,00      0,00      0,10      0,00     99,90
09:19:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:19:59        all      0,10      0,00      0,36      0,05      0,00     99,49
09:19:59          0      0,00      0,00      0,10      0,00      0,00     99,90
09:19:59          1      0,32      0,00      1,39      0,00      0,00     98,29
09:19:59          2      0,00      0,00      0,00      0,10      0,00     99,90
09:19:59          3      0,10      0,00      0,00      0,10      0,00     99,80
09:20:09        all      0,18      0,00      0,46      0,05      0,00     99,31
09:20:09          0      0,20      0,00      0,10      0,00      0,00     99,70
09:20:09          1      0,43      0,00      1,49      0,00      0,00     98,08
09:20:09          2      0,10      0,00      0,20      0,10      0,00     99,60
09:20:09          3      0,00      0,00      0,10      0,10      0,00     99,80
09:20:19        all      0,08      0,00      0,38      0,10      0,00     99,44
09:20:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:20:19          1      0,21      0,00      1,39      0,00      0,00     98,40
09:20:19          2      0,00      0,00      0,10      0,30      0,00     99,60
09:20:19          3      0,10      0,00      0,10      0,10      0,00     99,70
09:20:29        all      0,08      0,00      0,36      0,03      0,00     99,54
09:20:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:20:29          1      0,32      0,00      1,50      0,00      0,00     98,18
09:20:29          2      0,00      0,00      0,00      0,10      0,00     99,90
09:20:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:20:39        all      0,05      0,00      0,38      0,05      0,00     99,52
09:20:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:20:39          1      0,21      0,00      1,49      0,00      0,00     98,29
09:20:39          2      0,00      0,00      0,10      0,20      0,00     99,70
09:20:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:20:49        all      0,13      0,00      0,38      0,05      0,00     99,44
09:20:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:20:49          1      0,53      0,00      1,49      0,00      0,00     97,98
09:20:49          2      0,00      0,00      0,00      0,20      0,00     99,80
09:20:49          3      0,00      0,00      0,10      0,00      0,00     99,90

09:20:49        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:20:59        all      0,10      0,00      0,33      0,00      0,00     99,57
09:20:59          0      0,00      0,00      0,10      0,00      0,00     99,90
09:20:59          1      0,43      0,00      1,28      0,00      0,00     98,29
09:20:59          2      0,00      0,00      0,00      0,00      0,00    100,00
09:20:59          3      0,00      0,00      0,00      0,00      0,00    100,00
09:21:09        all      0,10      0,00      0,38      0,03      0,00     99,49
09:21:09          0      0,00      0,00      0,00      0,00      0,00    100,00
09:21:09          1      0,32      0,00      1,49      0,00      0,00     98,19
09:21:09          2      0,10      0,00      0,10      0,10      0,00     99,70
09:21:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:21:19        all      0,15      0,00      0,33      0,08      0,00     99,44
09:21:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:21:19          1      0,32      0,00      1,17      0,11      0,00     98,40
09:21:19          2      0,30      0,00      0,10      0,20      0,00     99,40
09:21:19          3      0,00      0,00      0,10      0,00      0,00     99,90
09:21:29        all      0,15      0,00      0,41      0,00      0,00     99,44
09:21:29          0      0,00      0,00      0,00      0,00      0,00    100,00
09:21:29          1      0,32      0,00      1,60      0,00      0,00     98,09
09:21:29          2      0,30      0,00      0,10      0,00      0,00     99,60
09:21:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:21:39        all      0,15      0,00      0,38      0,08      0,00     99,39
09:21:39          0      0,00      0,00      0,10      0,00      0,00     99,90
09:21:39          1      0,32      0,00      1,38      0,00      0,00     98,30
09:21:39          2      0,30      0,00      0,10      0,30      0,00     99,30
09:21:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:21:49        all      0,13      0,00      0,33      0,03      0,00     99,52
09:21:49          0      0,00      0,00      0,10      0,00      0,00     99,90
09:21:49          1      0,32      0,00      1,28      0,00      0,00     98,40
09:21:49          2      0,20      0,00      0,00      0,10      0,00     99,70
09:21:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:21:59        all      0,13      0,00      0,36      0,08      0,00     99,44
09:21:59          0      0,00      0,00      0,00      0,00      0,00    100,00
09:21:59          1      0,32      0,00      1,39      0,11      0,00     98,18
09:21:59          2      0,20      0,00      0,10      0,20      0,00     99,50
09:21:59          3      0,00      0,00      0,00      0,00      0,00    100,00
09:22:09        all      0,10      0,00      0,38      0,03      0,00     99,49
09:22:09          0      0,00      0,00      0,10      0,00      0,00     99,90
09:22:09          1      0,11      0,00      1,18      0,00      0,00     98,72
09:22:09          2      0,30      0,00      0,20      0,10      0,00     99,40
09:22:09          3      0,00      0,00      0,10      0,00      0,00     99,90
09:22:19        all      0,15      0,00      0,36      0,05      0,00     99,44
09:22:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:22:19          1      0,32      0,00      1,39      0,00      0,00     98,29
09:22:19          2      0,30      0,00      0,10      0,20      0,00     99,40
09:22:19          3      0,00      0,00      0,00      0,00      0,00    100,00
09:22:29        all      0,08      0,00      0,36      0,03      0,00     99,54
09:22:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:22:29          1      0,32      0,00      1,39      0,00      0,00     98,29
09:22:29          2      0,00      0,00      0,00      0,10      0,00     99,90
09:22:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:22:39        all      0,10      0,00      0,38      0,05      0,00     99,47
09:22:39          0      0,00      0,00      0,00      0,00      0,00    100,00
09:22:39          1      0,32      0,00      1,50      0,11      0,00     98,08
09:22:39          2      0,00      0,00      0,10      0,10      0,00     99,80
09:22:39          3      0,10      0,00      0,00      0,00      0,00     99,90

09:22:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:22:49        all      0,13      0,00      0,23      0,05      0,00     99,59
09:22:49          0      0,00      0,00      0,00      0,00      0,00    100,00
09:22:49          1      0,43      0,00      0,96      0,00      0,00     98,61
09:22:49          2      0,10      0,00      0,00      0,20      0,00     99,70
09:22:49          3      0,00      0,00      0,00      0,00      0,00    100,00
09:22:59        all      0,08      0,00      0,41      0,03      0,00     99,49
09:22:59          0      0,00      0,00      0,10      0,00      0,00     99,90
09:22:59          1      0,32      0,00      1,39      0,00      0,00     98,29
09:22:59          2      0,00      0,00      0,10      0,10      0,00     99,80
09:22:59          3      0,00      0,00      0,10      0,00      0,00     99,90
09:23:09        all      0,15      0,00      0,38      0,03      0,00     99,44
09:23:09          0      0,10      0,00      0,10      0,00      0,00     99,80
09:23:09          1      0,32      0,00      1,39      0,00      0,00     98,29
09:23:09          2      0,20      0,00      0,10      0,10      0,00     99,60
09:23:09          3      0,00      0,00      0,00      0,00      0,00    100,00
09:23:19        all      0,13      0,00      0,36      0,05      0,00     99,47
09:23:19          0      0,00      0,00      0,00      0,00      0,00    100,00
09:23:19          1      0,21      0,00      1,39      0,11      0,00     98,29
09:23:19          2      0,30      0,00      0,10      0,10      0,00     99,50
09:23:19          3      0,00      0,00      0,00      0,00      0,00    100,00
09:23:29        all      0,15      0,00      0,43      0,03      0,00     99,39
09:23:29          0      0,00      0,00      0,10      0,00      0,00     99,90
09:23:29          1      0,43      0,00      1,60      0,00      0,00     97,97
09:23:29          2      0,20      0,00      0,10      0,10      0,00     99,60
09:23:29          3      0,00      0,00      0,00      0,00      0,00    100,00
09:23:39        all      0,13      0,00      0,36      0,05      0,00     99,47
09:23:39          0      0,10      0,00      0,00      0,00      0,00     99,90
09:23:39          1      0,21      0,00      1,39      0,00      0,00     98,40
09:23:39          2      0,20      0,00      0,10      0,20      0,00     99,50
09:23:39          3      0,00      0,00      0,00      0,00      0,00    100,00
09:23:49        all      0,08      0,00      0,41      0,03      0,00     99,49
09:23:49          0      0,10      0,00      0,90      0,00      0,00     99,00
09:23:49          1      0,11      0,00      0,43      0,11      0,00     99,36
09:23:49          2      0,10      0,00      0,30      0,00      0,00     99,60
09:23:49          3      0,00      0,00      0,00      0,00      0,00    100,00
