Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:12:29        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29          sda      0,60      0,00      8,00      0,00     13,33      0,00      2,83      0,15
09:12:29         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29         sda2      0,60      0,00      8,00      0,00     13,33      0,00      2,83      0,15
09:12:29        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:29        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39          sda      1,00      0,00      6,00      0,00      6,00      0,00      2,00      0,16
09:12:39         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39         sda2      1,00      0,00      6,00      0,00      6,00      0,00      2,00      0,16
09:12:39        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:39        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
