Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:36:29            0       631      0,00      0,00      0,00         0
09:36:39            0       631      0,00      0,00      0,00         0
09:36:49            0       631      0,00      0,00      0,00         0
09:36:59            0       631      0,00      0,00      0,00         0
09:37:09            0       631      0,00      0,00      0,00         0
09:37:19            0       631      0,00      0,00      0,00         0
09:37:29            0       631      0,00      0,00      0,00         0
09:37:39            0       631      0,00      0,00      0,00         0
09:37:49            1       631      0,00      0,00      0,00         0
09:37:59            0       630      0,00      0,00      0,00         0
09:38:09            0       630      0,00      0,00      0,00         0
09:38:19            1       630      0,00      0,00      0,00         0
09:38:29            0       630      0,00      0,00      0,00         0
09:38:39            0       630      0,00      0,00      0,00         0
09:38:49            1       630      0,00      0,00      0,00         0
09:38:59            0       630      0,00      0,00      0,00         0
09:39:09            0       630      0,00      0,00      0,00         0
09:39:19            0       630      0,00      0,00      0,00         0
09:39:29            0       629      0,00      0,00      0,00         0
09:39:39            0       629      0,00      0,00      0,00         0
09:39:49            0       629      0,00      0,00      0,00         0
09:39:59            0       634      0,00      0,00      0,00         0
09:40:09            0       630      0,00      0,00      0,00         0
